metric,READOUT_CLASS,BASELINE_ONLY,DESCRIPTIVE,outcome,lane,scope,theoretical_floor,theoretical_ceiling,value_in_unperturbed_control,fraction_of_range_used_by_control,observed_min,observed_max,observed_spread,effective_dynamic_range,n_observations,saturation_threshold,flag,verdict_relabel,which_verdict_depends_on_it,source_file,json_path,note
M2,activation,False,True,S2 verdict: K1_CB_survives,B,0 of 4 lineages scored,,,,,,,,,4,0.005,INDETERMINATE_NO_MATCHED_POINT,INDETERMINATE_ALL_LINEAGES,Every registered damage-signature row returned INDETERMINATE_NO_MATCHED_POINT because the primary damage variable was FLAT AT CEILING with no matched point. Iteration 1 carried this only in its limitations section; it is printed here beside the claim it qualifies.,LANE_B/out/analysis.json,S2_verdicts.K1_CB_survives.verdict,"scored on fewer than 4 lineages - the weakened rule is stated, not silent"
M2,activation,False,True,S2 verdict: K1_A_attenuation_descriptive,B,0 of 4 lineages scored,,,,,,,,,4,0.005,INDETERMINATE_NO_MATCHED_POINT,INDETERMINATE_ALL_LINEAGES,Every registered damage-signature row returned INDETERMINATE_NO_MATCHED_POINT because the primary damage variable was FLAT AT CEILING with no matched point. Iteration 1 carried this only in its limitations section; it is printed here beside the claim it qualifies.,LANE_B/out/analysis.json,S2_verdicts.K1_A_attenuation_descriptive.verdict,"scored on fewer than 4 lineages - the weakened rule is stated, not silent"
M2,activation,False,True,S2 verdict: K2_prior,B,0 of 4 lineages scored,,,,,,,,,4,0.005,INDETERMINATE_NO_MATCHED_POINT,INDETERMINATE_ALL_LINEAGES,Every registered damage-signature row returned INDETERMINATE_NO_MATCHED_POINT because the primary damage variable was FLAT AT CEILING with no matched point. Iteration 1 carried this only in its limitations section; it is printed here beside the claim it qualifies.,LANE_B/out/analysis.json,S2_verdicts.K2_prior.verdict,"scored on fewer than 4 lineages - the weakened rule is stated, not silent"
M2,activation,False,True,S2 verdict: K2_slope,B,0 of 4 lineages scored,,,,,,,,,4,0.005,INDETERMINATE_NO_MATCHED_POINT,INDETERMINATE_ALL_LINEAGES,Every registered damage-signature row returned INDETERMINATE_NO_MATCHED_POINT because the primary damage variable was FLAT AT CEILING with no matched point. Iteration 1 carried this only in its limitations section; it is printed here beside the claim it qualifies.,LANE_B/out/analysis.json,S2_verdicts.K2_slope.verdict,"scored on fewer than 4 lineages - the weakened rule is stated, not silent"
M2,activation,False,True,S2 verdict: K3_footprint,B,0 of 4 lineages scored,,,,,,,,,4,0.005,INDETERMINATE_NO_MATCHED_POINT,INDETERMINATE_ALL_LINEAGES,Every registered damage-signature row returned INDETERMINATE_NO_MATCHED_POINT because the primary damage variable was FLAT AT CEILING with no matched point. Iteration 1 carried this only in its limitations section; it is printed here beside the claim it qualifies.,LANE_B/out/analysis.json,S2_verdicts.K3_footprint.verdict,"scored on fewer than 4 lineages - the weakened rule is stated, not silent"
M2,activation,False,True,S2 verdict: K4_tau,B,0 of 4 lineages scored,,,,,,,,,4,0.005,INDETERMINATE_NO_MATCHED_POINT,INDETERMINATE_ALL_LINEAGES,Every registered damage-signature row returned INDETERMINATE_NO_MATCHED_POINT because the primary damage variable was FLAT AT CEILING with no matched point. Iteration 1 carried this only in its limitations section; it is printed here beside the claim it qualifies.,LANE_B/out/analysis.json,S2_verdicts.K4_tau.verdict,"scored on fewer than 4 lineages - the weakened rule is stated, not silent"
M2,activation,False,True,S2 verdict: K5_profile,B,0 of 4 lineages scored,,,,,,,,,4,0.005,INDETERMINATE_NO_MATCHED_POINT,INDETERMINATE_ALL_LINEAGES,Every registered damage-signature row returned INDETERMINATE_NO_MATCHED_POINT because the primary damage variable was FLAT AT CEILING with no matched point. Iteration 1 carried this only in its limitations section; it is printed here beside the claim it qualifies.,LANE_B/out/analysis.json,S2_verdicts.K5_profile.verdict,"scored on fewer than 4 lineages - the weakened rule is stated, not silent"
M2,activation,False,True,rcontent_heldout_auroc,C,21 panel checkpoints,0.5,1.0,0.9987909226190477,0.997582,0.9951171875,1.0,0.004883,0.009766,21,0.005,SATURATED,"INDETERMINATE (the outcome is at its ceiling in the unperturbed control, so it cannot fall)",'the content axis is a valid instrument' -- the gate every Lane C candidate feature is computed through,LANE_C/results/per_ckpt/*.json,instrument.rcontent_heldout_auroc,control taken as the panel MEAN: there is no unperturbed arm in a cross-family panel
M2,activation,False,True,rcontent_splithalf,C,21 panel checkpoints,0.0,1.0,0.955478278086299,0.955478,0.9369260430335998,0.9679226607084275,0.030997,0.030997,21,0.005,HAS_HEADROOM,STANDS,"G1 direction stability, which Lane A FAILS and Lane C PASSES under the same gate name",LANE_C/results/per_ckpt/*.json,instrument.rcontent_splithalf,control taken as the panel MEAN: there is no unperturbed arm in a cross-family panel
M2,activation,False,True,cos_rcontent_rrequest,C,21 panel checkpoints,0.0,1.0,0.4754251770320393,0.475425,0.05733031779527664,0.6027532815933228,0.545423,0.545423,21,0.005,HAS_HEADROOM,STANDS,'the two axes are near-orthogonal' -- reported at panel scale,LANE_C/results/per_ckpt/*.json,instrument.cos_rcontent_rrequest,control taken as the panel MEAN: there is no unperturbed arm in a cross-family panel
M2,activation,False,True,"|cos(r_content, r_ablit)| at band",A,"7 arms, one family",0.0,1.0,0.08914838820725443,0.089148,0.043273108907871775,0.2345743195878135,0.191301,0.191301,7,0.005,HAS_HEADROOM,STANDS,"'the response-site and prompt-site axes are NEAR-ORTHOGONAL', and the confound gate that licenses the parent-fixed post-edit arm",LANE_A/out/released/cos_content_ablit.json,<ckpt>.at_band,
M2,activation,False,True,M1 recomputed AUROC (the outcome iteration 1 reported),EVAL,61 arms,0.5,1.0,0.989319,0.978638,0.494208,0.989319,0.495111,0.990222,61,0.005,HAS_HEADROOM,STANDS,the recognition-invariance premise,results/m1_recognition_headroom.csv,auroc_recomputed,
M2,activation,False,True,M1 TPR@1%FPR (the de-saturated replacement),EVAL,61 arms,0.0,1.0,0.7734375,0.773438,0.005208333333333333,0.7734375,0.768229,0.768229,61,0.005,HAS_HEADROOM,STANDS,"the recognition-invariance premise, re-expressed on an outcome with headroom",results/m1_recognition_headroom.csv,tpr@1fpr_point,
