READOUT_CLASS,gate_id,lane,checkpoint,description,threshold,observed,verdict,source_file,json_path,which_reported_conclusion_depends_on_it,gate_measures_class
metadata,A_G4_nulls|NonSafetyFT-STaR,A,NonSafetyFT-STaR,"gate on the null machinery itself (random-direction + shuffled-label refits computing OK), NOT on whether the real A term escapes the shuffled-label band -- that check is cheapest_kill.A_escapes_shuffled_label_band",n_shuffled_label_refits=20,gate_verdict=PASS; |A|=4.254 null-SD vs shuffled-label band abs_p975=11.473; escapes_band=False,PASS,LANE_A/out/method_out.json,$.metadata.gates.G4_nulls.NonSafetyFT-STaR / $.metadata.cheapest_kill.*,"Lane A's headline cheapest-kill verdict 'K1_ARMING_COORDINATE_NOT_LABEL_SPECIFIC', and every S1 FAIL recorded for K1, depends on this null; A never escapes its own shuffled-label band in any of the 7 checkpoints (escapes_band=False everywhere), and in NonSafetyFT-STaR the band itself is 11.47 null-SD wide against a real |A| of 4.25, so the reported arming term cannot be told apart from what a PERMUTED-label refit already produces.",activation
metadata,A_G4_nulls|Qwen3-4B,A,Qwen3-4B,"gate on the null machinery itself (random-direction + shuffled-label refits computing OK), NOT on whether the real A term escapes the shuffled-label band -- that check is cheapest_kill.A_escapes_shuffled_label_band",n_shuffled_label_refits=20,gate_verdict=PASS; |A|=7.475 null-SD vs shuffled-label band abs_p975=11.775; escapes_band=False,PASS,LANE_A/out/method_out.json,$.metadata.gates.G4_nulls.Qwen3-4B / $.metadata.cheapest_kill.*,"Lane A's headline cheapest-kill verdict 'K1_ARMING_COORDINATE_NOT_LABEL_SPECIFIC', and every S1 FAIL recorded for K1, depends on this null; A never escapes its own shuffled-label band in any of the 7 checkpoints (escapes_band=False everywhere), and in Qwen3-4B the band itself is 11.78 null-SD wide against a real |A| of 7.48, so the reported arming term cannot be told apart from what a PERMUTED-label refit already produces.",activation
metadata,A_G4_nulls|Qwen3-4B-Base-chat,A,Qwen3-4B-Base-chat,"gate on the null machinery itself (random-direction + shuffled-label refits computing OK), NOT on whether the real A term escapes the shuffled-label band -- that check is cheapest_kill.A_escapes_shuffled_label_band",n_shuffled_label_refits=20,gate_verdict=PASS; |A|=4.391 null-SD vs shuffled-label band abs_p975=11.041; escapes_band=False,PASS,LANE_A/out/method_out.json,$.metadata.gates.G4_nulls.Qwen3-4B-Base-chat / $.metadata.cheapest_kill.*,"Lane A's headline cheapest-kill verdict 'K1_ARMING_COORDINATE_NOT_LABEL_SPECIFIC', and every S1 FAIL recorded for K1, depends on this null; A never escapes its own shuffled-label band in any of the 7 checkpoints (escapes_band=False everywhere), and in Qwen3-4B-Base-chat the band itself is 11.04 null-SD wide against a real |A| of 4.39, so the reported arming term cannot be told apart from what a PERMUTED-label refit already produces.",activation
metadata,A_G4_nulls|Qwen3-4B-Base-plain,A,Qwen3-4B-Base-plain,"gate on the null machinery itself (random-direction + shuffled-label refits computing OK), NOT on whether the real A term escapes the shuffled-label band -- that check is cheapest_kill.A_escapes_shuffled_label_band",n_shuffled_label_refits=20,gate_verdict=PASS; |A|=0.254 null-SD vs shuffled-label band abs_p975=11.613; escapes_band=False,PASS,LANE_A/out/method_out.json,$.metadata.gates.G4_nulls.Qwen3-4B-Base-plain / $.metadata.cheapest_kill.*,"Lane A's headline cheapest-kill verdict 'K1_ARMING_COORDINATE_NOT_LABEL_SPECIFIC', and every S1 FAIL recorded for K1, depends on this null; A never escapes its own shuffled-label band in any of the 7 checkpoints (escapes_band=False everywhere), and in Qwen3-4B-Base-plain the band itself is 11.61 null-SD wide against a real |A| of 0.25, so the reported arming term cannot be told apart from what a PERMUTED-label refit already produces.",activation
metadata,A_G4_nulls|Qwen3-4B-SafeRL,A,Qwen3-4B-SafeRL,"gate on the null machinery itself (random-direction + shuffled-label refits computing OK), NOT on whether the real A term escapes the shuffled-label band -- that check is cheapest_kill.A_escapes_shuffled_label_band",n_shuffled_label_refits=20,gate_verdict=PASS; |A|=8.302 null-SD vs shuffled-label band abs_p975=11.273; escapes_band=False,PASS,LANE_A/out/method_out.json,$.metadata.gates.G4_nulls.Qwen3-4B-SafeRL / $.metadata.cheapest_kill.*,"Lane A's headline cheapest-kill verdict 'K1_ARMING_COORDINATE_NOT_LABEL_SPECIFIC', and every S1 FAIL recorded for K1, depends on this null; A never escapes its own shuffled-label band in any of the 7 checkpoints (escapes_band=False everywhere), and in Qwen3-4B-SafeRL the band itself is 11.27 null-SD wide against a real |A| of 8.30, so the reported arming term cannot be told apart from what a PERMUTED-label refit already produces.",activation
metadata,A_G4_nulls|Qwen3-4B-abliterated,A,Qwen3-4B-abliterated,"gate on the null machinery itself (random-direction + shuffled-label refits computing OK), NOT on whether the real A term escapes the shuffled-label band -- that check is cheapest_kill.A_escapes_shuffled_label_band",n_shuffled_label_refits=20,gate_verdict=PASS; |A|=9.288 null-SD vs shuffled-label band abs_p975=11.692; escapes_band=False,PASS,LANE_A/out/method_out.json,$.metadata.gates.G4_nulls.Qwen3-4B-abliterated / $.metadata.cheapest_kill.*,"Lane A's headline cheapest-kill verdict 'K1_ARMING_COORDINATE_NOT_LABEL_SPECIFIC', and every S1 FAIL recorded for K1, depends on this null; A never escapes its own shuffled-label band in any of the 7 checkpoints (escapes_band=False everywhere), and in Qwen3-4B-abliterated the band itself is 11.69 null-SD wide against a real |A| of 9.29, so the reported arming term cannot be told apart from what a PERMUTED-label refit already produces.",activation
metadata,A_G4_nulls|RandInit-4B,A,RandInit-4B,"gate on the null machinery itself (random-direction + shuffled-label refits computing OK), NOT on whether the real A term escapes the shuffled-label band -- that check is cheapest_kill.A_escapes_shuffled_label_band",n_shuffled_label_refits=20,gate_verdict=PASS; |A|=0.345 null-SD vs shuffled-label band abs_p975=1.268; escapes_band=False,PASS,LANE_A/out/method_out.json,$.metadata.gates.G4_nulls.RandInit-4B / $.metadata.cheapest_kill.*,"Lane A's headline cheapest-kill verdict 'K1_ARMING_COORDINATE_NOT_LABEL_SPECIFIC', and every S1 FAIL recorded for K1, depends on this null; A never escapes its own shuffled-label band in any of the 7 checkpoints (escapes_band=False everywhere), and in RandInit-4B the band itself is 1.27 null-SD wide against a real |A| of 0.35, so the reported arming term cannot be told apart from what a PERMUTED-label refit already produces.",activation
metadata,A_G5_placebo_TOST|NonSafetyFT-STaR,A,NonSafetyFT-STaR,"TOST equivalence of the coherence/placebo interaction to zero, margin +-0.4 null-SD",0.4,-6.9439,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G5_placebo_equivalence.NonSafetyFT-STaR,"A_net's very framing as 'the arming term with the placebo/coherence interaction subtracted out' presupposes that interaction is negligible before subtraction is meaningful; this TOST FAILS in NonSafetyFT-STaR (interaction=-6.94 null-SD, p_tost=1.000), and it fails in ALL SEVEN arms including the untrained RandInit-4B control, so no arm in the panel supports treating the coherence interaction as equivalent to zero -- A_net is a subtraction with no arm licensing it.",activation
metadata,A_G5_placebo_TOST|Qwen3-4B,A,Qwen3-4B,"TOST equivalence of the coherence/placebo interaction to zero, margin +-0.4 null-SD",0.4,-16.7097,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G5_placebo_equivalence.Qwen3-4B,"A_net's very framing as 'the arming term with the placebo/coherence interaction subtracted out' presupposes that interaction is negligible before subtraction is meaningful; this TOST FAILS in Qwen3-4B (interaction=-16.71 null-SD, p_tost=1.000), and it fails in ALL SEVEN arms including the untrained RandInit-4B control, so no arm in the panel supports treating the coherence interaction as equivalent to zero -- A_net is a subtraction with no arm licensing it.",activation
metadata,A_G5_placebo_TOST|Qwen3-4B-Base-chat,A,Qwen3-4B-Base-chat,"TOST equivalence of the coherence/placebo interaction to zero, margin +-0.4 null-SD",0.4,-7.6413,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G5_placebo_equivalence.Qwen3-4B-Base-chat,"A_net's very framing as 'the arming term with the placebo/coherence interaction subtracted out' presupposes that interaction is negligible before subtraction is meaningful; this TOST FAILS in Qwen3-4B-Base-chat (interaction=-7.64 null-SD, p_tost=1.000), and it fails in ALL SEVEN arms including the untrained RandInit-4B control, so no arm in the panel supports treating the coherence interaction as equivalent to zero -- A_net is a subtraction with no arm licensing it.",activation
metadata,A_G5_placebo_TOST|Qwen3-4B-Base-plain,A,Qwen3-4B-Base-plain,"TOST equivalence of the coherence/placebo interaction to zero, margin +-0.4 null-SD",0.4,-4.2397,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G5_placebo_equivalence.Qwen3-4B-Base-plain,"A_net's very framing as 'the arming term with the placebo/coherence interaction subtracted out' presupposes that interaction is negligible before subtraction is meaningful; this TOST FAILS in Qwen3-4B-Base-plain (interaction=-4.24 null-SD, p_tost=1.000), and it fails in ALL SEVEN arms including the untrained RandInit-4B control, so no arm in the panel supports treating the coherence interaction as equivalent to zero -- A_net is a subtraction with no arm licensing it.",activation
metadata,A_G5_placebo_TOST|Qwen3-4B-SafeRL,A,Qwen3-4B-SafeRL,"TOST equivalence of the coherence/placebo interaction to zero, margin +-0.4 null-SD",0.4,-21.2154,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G5_placebo_equivalence.Qwen3-4B-SafeRL,"A_net's very framing as 'the arming term with the placebo/coherence interaction subtracted out' presupposes that interaction is negligible before subtraction is meaningful; this TOST FAILS in Qwen3-4B-SafeRL (interaction=-21.22 null-SD, p_tost=1.000), and it fails in ALL SEVEN arms including the untrained RandInit-4B control, so no arm in the panel supports treating the coherence interaction as equivalent to zero -- A_net is a subtraction with no arm licensing it.",activation
metadata,A_G5_placebo_TOST|Qwen3-4B-abliterated,A,Qwen3-4B-abliterated,"TOST equivalence of the coherence/placebo interaction to zero, margin +-0.4 null-SD",0.4,-16.5668,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G5_placebo_equivalence.Qwen3-4B-abliterated,"A_net's very framing as 'the arming term with the placebo/coherence interaction subtracted out' presupposes that interaction is negligible before subtraction is meaningful; this TOST FAILS in Qwen3-4B-abliterated (interaction=-16.57 null-SD, p_tost=1.000), and it fails in ALL SEVEN arms including the untrained RandInit-4B control, so no arm in the panel supports treating the coherence interaction as equivalent to zero -- A_net is a subtraction with no arm licensing it.",activation
metadata,A_G5_placebo_TOST|RandInit-4B,A,RandInit-4B,"TOST equivalence of the coherence/placebo interaction to zero, margin +-0.4 null-SD",0.4,0.3087,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G5_placebo_equivalence.RandInit-4B,"A_net's very framing as 'the arming term with the placebo/coherence interaction subtracted out' presupposes that interaction is negligible before subtraction is meaningful; this TOST FAILS in RandInit-4B (interaction=0.31 null-SD, p_tost=0.387), and it fails in ALL SEVEN arms including the untrained RandInit-4B control, so no arm in the panel supports treating the coherence interaction as equivalent to zero -- A_net is a subtraction with no arm licensing it.",activation
metadata,A_G6_subtraction_licence|NonSafetyFT-STaR,A,NonSafetyFT-STaR,safety-vs-coherence off-diagonal NLL penalty comparison licensing A_net's subtraction step; penalty = mean logprob on the off-diagonal (mismatched) cells minus the matched cells; more negative = a harsher mismatch penalty. Subtraction is licensed only when the coherence crossing's penalty is at least as severe as the safety crossing's.,coherence-crossing penalty >= safety-crossing penalty,subtraction_licensed=True; A_net.is_upper_bound=False,PASS,LANE_A/out/method_out.json,$.metadata.gates.G6_nll_match.NonSafetyFT-STaR / $.metadata.A_net.NonSafetyFT-STaR.is_upper_bound,"The claim that A_net is a clean point estimate of the arming coordinate (rather than an NLL-covariate-adjusted UPPER BOUND) depends on this gate; the schema note that only Qwen3-4B carries is_upper_bound=True is WRONG -- the file actually flags ['Qwen3-4B', 'Qwen3-4B-SafeRL', 'Qwen3-4B-abliterated', 'RandInit-4B'] (4 checkpoints, exactly the complement of subtraction_licensed), which means A_net is an upper bound in every one of the three safety-relevant arms (Qwen3-4B, SafeRL, abliterated) that the arming story is actually about, PLUS the untrained RandInit-4B control -- not in one arm as previously reported.",logit
metadata,A_G6_subtraction_licence|Qwen3-4B,A,Qwen3-4B,safety-vs-coherence off-diagonal NLL penalty comparison licensing A_net's subtraction step; penalty = mean logprob on the off-diagonal (mismatched) cells minus the matched cells; more negative = a harsher mismatch penalty. Subtraction is licensed only when the coherence crossing's penalty is at least as severe as the safety crossing's.,coherence-crossing penalty >= safety-crossing penalty,subtraction_licensed=False; A_net.is_upper_bound=True,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G6_nll_match.Qwen3-4B / $.metadata.A_net.Qwen3-4B.is_upper_bound,"The claim that A_net is a clean point estimate of the arming coordinate (rather than an NLL-covariate-adjusted UPPER BOUND) depends on this gate; the schema note that only Qwen3-4B carries is_upper_bound=True is WRONG -- the file actually flags ['Qwen3-4B', 'Qwen3-4B-SafeRL', 'Qwen3-4B-abliterated', 'RandInit-4B'] (4 checkpoints, exactly the complement of subtraction_licensed), which means A_net is an upper bound in every one of the three safety-relevant arms (Qwen3-4B, SafeRL, abliterated) that the arming story is actually about, PLUS the untrained RandInit-4B control -- not in one arm as previously reported.",logit
metadata,A_G6_subtraction_licence|Qwen3-4B-Base-chat,A,Qwen3-4B-Base-chat,safety-vs-coherence off-diagonal NLL penalty comparison licensing A_net's subtraction step; penalty = mean logprob on the off-diagonal (mismatched) cells minus the matched cells; more negative = a harsher mismatch penalty. Subtraction is licensed only when the coherence crossing's penalty is at least as severe as the safety crossing's.,coherence-crossing penalty >= safety-crossing penalty,subtraction_licensed=True; A_net.is_upper_bound=False,PASS,LANE_A/out/method_out.json,$.metadata.gates.G6_nll_match.Qwen3-4B-Base-chat / $.metadata.A_net.Qwen3-4B-Base-chat.is_upper_bound,"The claim that A_net is a clean point estimate of the arming coordinate (rather than an NLL-covariate-adjusted UPPER BOUND) depends on this gate; the schema note that only Qwen3-4B carries is_upper_bound=True is WRONG -- the file actually flags ['Qwen3-4B', 'Qwen3-4B-SafeRL', 'Qwen3-4B-abliterated', 'RandInit-4B'] (4 checkpoints, exactly the complement of subtraction_licensed), which means A_net is an upper bound in every one of the three safety-relevant arms (Qwen3-4B, SafeRL, abliterated) that the arming story is actually about, PLUS the untrained RandInit-4B control -- not in one arm as previously reported.",logit
metadata,A_G6_subtraction_licence|Qwen3-4B-Base-plain,A,Qwen3-4B-Base-plain,safety-vs-coherence off-diagonal NLL penalty comparison licensing A_net's subtraction step; penalty = mean logprob on the off-diagonal (mismatched) cells minus the matched cells; more negative = a harsher mismatch penalty. Subtraction is licensed only when the coherence crossing's penalty is at least as severe as the safety crossing's.,coherence-crossing penalty >= safety-crossing penalty,subtraction_licensed=True; A_net.is_upper_bound=False,PASS,LANE_A/out/method_out.json,$.metadata.gates.G6_nll_match.Qwen3-4B-Base-plain / $.metadata.A_net.Qwen3-4B-Base-plain.is_upper_bound,"The claim that A_net is a clean point estimate of the arming coordinate (rather than an NLL-covariate-adjusted UPPER BOUND) depends on this gate; the schema note that only Qwen3-4B carries is_upper_bound=True is WRONG -- the file actually flags ['Qwen3-4B', 'Qwen3-4B-SafeRL', 'Qwen3-4B-abliterated', 'RandInit-4B'] (4 checkpoints, exactly the complement of subtraction_licensed), which means A_net is an upper bound in every one of the three safety-relevant arms (Qwen3-4B, SafeRL, abliterated) that the arming story is actually about, PLUS the untrained RandInit-4B control -- not in one arm as previously reported.",logit
metadata,A_G6_subtraction_licence|Qwen3-4B-SafeRL,A,Qwen3-4B-SafeRL,safety-vs-coherence off-diagonal NLL penalty comparison licensing A_net's subtraction step; penalty = mean logprob on the off-diagonal (mismatched) cells minus the matched cells; more negative = a harsher mismatch penalty. Subtraction is licensed only when the coherence crossing's penalty is at least as severe as the safety crossing's.,coherence-crossing penalty >= safety-crossing penalty,subtraction_licensed=False; A_net.is_upper_bound=True,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G6_nll_match.Qwen3-4B-SafeRL / $.metadata.A_net.Qwen3-4B-SafeRL.is_upper_bound,"The claim that A_net is a clean point estimate of the arming coordinate (rather than an NLL-covariate-adjusted UPPER BOUND) depends on this gate; the schema note that only Qwen3-4B carries is_upper_bound=True is WRONG -- the file actually flags ['Qwen3-4B', 'Qwen3-4B-SafeRL', 'Qwen3-4B-abliterated', 'RandInit-4B'] (4 checkpoints, exactly the complement of subtraction_licensed), which means A_net is an upper bound in every one of the three safety-relevant arms (Qwen3-4B, SafeRL, abliterated) that the arming story is actually about, PLUS the untrained RandInit-4B control -- not in one arm as previously reported.",logit
