metric,READOUT_CLASS,BASELINE_ONLY,DESCRIPTIVE,pair,family,sealed,feature,feature_kind,parent_value,child_value,delta_raw,delta_standardised,null_sd_used,ci_low,ci_high,sign_agreement,pair_label_recomputed,pair_label_quoted,T4_present_in_parent,T4_parent_value,source_file,json_path
M6,activation,False,True,Qwen__Qwen3-0.6B -> huihui-ai__Huihui-Qwen3-0.6B-abliterated-v2,qwen3,False,K5/mean_gain,stored recognition scalar,2.721505,2.827706,0.106201,,,,,True,EFFECTIVE,EFFECTIVE,True,2.721505,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-0.6B-abliterated-v2.json,candidates.K5.mean_gain
M6,activation,False,True,Qwen__Qwen3-0.6B -> huihui-ai__Huihui-Qwen3-0.6B-abliterated-v2,qwen3,False,K5/dispersion,stored recognition scalar,0.239658,0.277444,0.037786,,,,,True,EFFECTIVE,EFFECTIVE,True,0.239658,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-0.6B-abliterated-v2.json,candidates.K5.dispersion
M6,text,True,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,behaviour/harmful_compliance,behavioural ground truth,0.0,0.666667,0.666667,,,0.4666666666666667,0.8444444444444444,,EFFECTIVE,EFFECTIVE,True,0.0,LANE_C/results/judged/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.jsonl,
M6,text,True,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,behaviour/over_refusal,behavioural ground truth,0.422222,0.022222,-0.4,,,-0.6,-0.24444444444444446,,EFFECTIVE,EFFECTIVE,True,0.422222,LANE_C/results/judged/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.jsonl,
M6,text,True,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,behaviour/safe_engagement,behavioural ground truth,0.066667,0.155556,0.088889,,,,,,EFFECTIVE,EFFECTIVE,True,0.066667,LANE_C/results/judged/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.jsonl,
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,instrument/rcontent_heldout_auroc,stored recognition scalar,0.998047,0.995117,-0.00293,,,,,False,EFFECTIVE,EFFECTIVE,True,0.998047,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,instrument.rcontent_heldout_auroc
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,instrument/rcontent_splithalf,stored recognition scalar,0.967923,0.961002,-0.00692,,,,,False,EFFECTIVE,EFFECTIVE,True,0.967923,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,instrument.rcontent_splithalf
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,instrument/cos_rcontent_rrequest,stored recognition scalar,0.485605,0.505389,0.019784,,,,,True,EFFECTIVE,EFFECTIVE,True,0.485605,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,instrument.cos_rcontent_rrequest
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K1/O,stored recognition scalar,2.089416,-0.508994,-2.598411,-5.22688,0.497125,,,False,EFFECTIVE,EFFECTIVE,True,2.089416,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K1.O
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K1/CB,stored recognition scalar,2.734587,2.838308,0.103721,0.018907,5.485824,,,True,EFFECTIVE,EFFECTIVE,True,2.734587,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K1.CB
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K1/A,stored recognition scalar,2.491252,1.166937,-1.324315,-6.48541,0.204199,,,False,EFFECTIVE,EFFECTIVE,True,2.491252,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K1.A
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K1/T,stored recognition scalar,2.744989,2.87228,0.12729,0.023127,5.503902,,,True,EFFECTIVE,EFFECTIVE,True,2.744989,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K1.T
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K1_raw/O,stored recognition scalar,3.087036,-0.253034,-3.34007,-6.718778,0.497125,,,False,EFFECTIVE,EFFECTIVE,True,3.087036,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K1_raw.O
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K1_raw/CB,stored recognition scalar,21.290947,15.570458,-5.720489,-1.042777,5.485824,,,False,EFFECTIVE,EFFECTIVE,True,21.290947,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K1_raw.CB
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K1_raw/A,stored recognition scalar,1.924272,0.238287,-1.685984,-8.256571,0.204199,,,False,EFFECTIVE,EFFECTIVE,True,1.924272,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K1_raw.A
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K1_raw/T,stored recognition scalar,23.215218,15.808746,-7.406471,-1.345676,5.503902,,,False,EFFECTIVE,EFFECTIVE,True,23.215218,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K1_raw.T
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K1_windows/A_early_mean,stored recognition scalar,2.81779,1.412109,-1.405681,-6.883874,0.204199,,,False,EFFECTIVE,EFFECTIVE,True,2.81779,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K1_windows.A_early_mean
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K1_windows/A_late_mean,stored recognition scalar,0.216032,-1.324645,-1.540677,-7.544976,0.204199,,,False,EFFECTIVE,EFFECTIVE,True,0.216032,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K1_windows.A_late_mean
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K2/prior,stored recognition scalar,2.147198,0.1554,-1.991799,,,,,False,EFFECTIVE,EFFECTIVE,True,2.147198,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K2.prior
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K2/slope,stored recognition scalar,0.337402,-0.069157,-0.406559,,,,,False,EFFECTIVE,EFFECTIVE,True,0.337402,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K2.slope
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K2_raw/prior,stored recognition scalar,10.475209,0.71631,-9.758899,,,,,False,EFFECTIVE,EFFECTIVE,True,10.475209,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K2_raw.prior
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K2_raw/slope,stored recognition scalar,2.853511,-0.380635,-3.234145,,,,,False,EFFECTIVE,EFFECTIVE,True,2.853511,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K2_raw.slope
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K4/peak,stored recognition scalar,9.507478,1.069429,-8.438048,,,,,False,EFFECTIVE,EFFECTIVE,True,9.507478,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K4.peak
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K4/plateau,stored recognition scalar,0.121954,-0.060371,-0.182325,,,,,False,EFFECTIVE,EFFECTIVE,True,0.121954,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K4.plateau
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K4/tau_tokens,stored recognition scalar,68.726581,56.882666,-11.843915,,,,,False,EFFECTIVE,EFFECTIVE,True,68.726581,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K4.tau_tokens
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K5/mean_gain,stored recognition scalar,2.562763,2.836011,0.273248,,,,,True,EFFECTIVE,EFFECTIVE,True,2.562763,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K5.mean_gain
M6,activation,False,True,Qwen__Qwen3-1.7B -> huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2,qwen3,False,K5/dispersion,stored recognition scalar,0.189565,0.321411,0.131846,,,,,True,EFFECTIVE,EFFECTIVE,True,0.189565,LANE_C/results/per_ckpt/huihui-ai__Huihui-Qwen3-1.7B-abliterated-v2.json,candidates.K5.dispersion
M6,text,True,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,behaviour/harmful_compliance,behavioural ground truth,0.0,0.466667,0.466667,,,0.28888888888888886,0.6444444444444444,,EFFECTIVE,EFFECTIVE,True,0.0,LANE_C/results/judged/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.jsonl,
M6,text,True,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,behaviour/over_refusal,behavioural ground truth,0.777778,0.088889,-0.688889,,,-0.9555555555555555,-0.4888888888888889,,EFFECTIVE,EFFECTIVE,True,0.777778,LANE_C/results/judged/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.jsonl,
M6,text,True,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,behaviour/safe_engagement,behavioural ground truth,0.022222,0.088889,0.066667,,,,,,EFFECTIVE,EFFECTIVE,True,0.022222,LANE_C/results/judged/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.jsonl,
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,instrument/rcontent_heldout_auroc,stored recognition scalar,1.0,0.998047,-0.001953,,,,,False,EFFECTIVE,EFFECTIVE,True,1.0,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,instrument.rcontent_heldout_auroc
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,instrument/rcontent_splithalf,stored recognition scalar,0.958423,0.949496,-0.008927,,,,,False,EFFECTIVE,EFFECTIVE,True,0.958423,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,instrument.rcontent_splithalf
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,instrument/cos_rcontent_rrequest,stored recognition scalar,0.520478,0.41951,-0.100968,,,,,False,EFFECTIVE,EFFECTIVE,True,0.520478,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,instrument.cos_rcontent_rrequest
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,K1/O,stored recognition scalar,2.230757,-0.063978,-2.294735,-12.855813,0.178498,,,False,EFFECTIVE,EFFECTIVE,True,2.230757,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,candidates.K1.O
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,K1/CB,stored recognition scalar,2.893663,2.959842,0.066178,0.05755,1.14992,,,True,EFFECTIVE,EFFECTIVE,True,2.893663,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,candidates.K1.CB
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,K1/A,stored recognition scalar,-0.794622,0.689433,1.484056,37.340201,0.039744,,,True,EFFECTIVE,EFFECTIVE,True,-0.794622,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,candidates.K1.A
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,K1/T,stored recognition scalar,2.900528,2.962002,0.061474,0.053071,1.158332,,,True,EFFECTIVE,EFFECTIVE,True,2.900528,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,candidates.K1.T
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,K1_raw/O,stored recognition scalar,0.533319,-0.01142,-0.544739,-3.051798,0.178498,,,False,EFFECTIVE,EFFECTIVE,True,0.533319,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,candidates.K1_raw.O
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,K1_raw/CB,stored recognition scalar,5.105235,3.403582,-1.701652,-1.4798,1.14992,,,False,EFFECTIVE,EFFECTIVE,True,5.105235,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,candidates.K1_raw.CB
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,K1_raw/A,stored recognition scalar,-0.047542,0.027401,0.074943,1.88564,0.039744,,,True,EFFECTIVE,EFFECTIVE,True,-0.047542,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,candidates.K1_raw.A
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,K1_raw/T,stored recognition scalar,5.057693,3.430983,-1.626709,-1.404354,1.158332,,,False,EFFECTIVE,EFFECTIVE,True,5.057693,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,candidates.K1_raw.T
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,K1_windows/A_early_mean,stored recognition scalar,0.094663,0.087533,-0.00713,-0.179406,0.039744,,,False,EFFECTIVE,EFFECTIVE,True,0.094663,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,candidates.K1_windows.A_early_mean
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,K1_windows/A_late_mean,stored recognition scalar,-0.360589,-0.221852,0.138737,3.490756,0.039744,,,True,EFFECTIVE,EFFECTIVE,True,-0.360589,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,candidates.K1_windows.A_late_mean
M6,activation,False,True,Qwen__Qwen2.5-1.5B-Instruct -> Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,qwen2.5,False,K2/prior,stored recognition scalar,0.074085,-3.24167,-3.315756,,,,,False,EFFECTIVE,EFFECTIVE,True,0.074085,LANE_C/results/per_ckpt/Goekdeniz-Guelmez__Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3.json,candidates.K2.prior
