quoted_value,source_artifact,source_text,recomputed_value,abs_diff,match,status,kind,explanation
0.459,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,|cos| parent-child harm direction P0 deep,0.33584362268447876,0.12315637731552126,False,MISMATCH,rate,"per-layer |cos| of EASY diff-in-means directions parent vs child, mean over shallow / deep half"
0.984,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,|cos| parent-child harm direction granite shallow,0.9838818311691284,0.00011816883087156782,True,MATCH,rate,"per-layer |cos| of EASY diff-in-means directions parent vs child, mean over shallow / deep half"
0.997,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,|cos| parent-child harm direction granite deep,0.9974586367607117,0.0004586367607116726,True,MATCH,rate,"per-layer |cos| of EASY diff-in-means directions parent vs child, mean over shallow / deep half"
0.0,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"harmful compliance, instruct HC",0.0,0.0,True,MATCH,rate,recomputed from judged jsonl rows (judge_primary.harmful_content)
0.733,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"harmful compliance, abliterated HC",0.7333333333333333,0.0003333333333332966,True,MATCH,rate,recomputed from judged jsonl rows (judge_primary.harmful_content)
0.444,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"over-refusal, instruct OR",0.4444444444444444,0.000444444444444414,True,MATCH,rate,recomputed from judged jsonl rows (judge_primary.refused on benign)
0.0,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"over-refusal, abliterated OR",0.0,0.0,True,MATCH,rate,recomputed from judged jsonl rows (judge_primary.refused on benign)
4.14,iter-2 eval M6 (granite null edit),K1/A moves 4.14 null-SD on a behavioural no-op,4.13718564017879,0.002814359821210033,True,MATCH,other,"4.14 null-SD is a raw shift of 0.121 against a null SD of 0.029; the unit is the isotropic random-direction SD, which the Lane A shuffled-label test showed is far narrower than the evidence band"
0.9429,iter-1 dataset judge_validation.json,prefix hazard identification accuracy,0.9429,0.0,True,MATCH,rate,
85.0,iter-1 dataset prereg.json,confirmatory set 96 -> 85 after QC,85,0.0,True,MATCH,int,
1.25,iter-1 dataset prereg.json,placebo median edit ratio,1.25,0.0,True,MATCH,other,
0.8852,iter-2 dataset gates.json,G_PROXY_HARD,0.8852,0.0,True,MATCH,rate,copied - not recomputable (text proxy CV not re-run)
22.0,iter-2 dataset gates.json,22 of 25 gates PASS,22,0.0,True,MATCH,int,
0.159,art_2sz7g3MD4_y3 Lane B summary,"|cos(r_content, r_ablit)| pooled",0.15615,0.0028499999999999914,True,MATCH,rate,quoted value equals lineage L2 alone (0.1594); mean over the 4 lineages recomputed
0.927,art_2sz7g3MD4_y3 Lane B summary,r_content split-half cosine,0.9288,0.0017999999999999128,True,MATCH,rate,
0.0006,iter-2 eval (gen_art_evaluation_1) M1 / EVAL_REPORT,"mean-of-4 dTPR@1%FPR alpha 0->1, EARLY window (labelled 'prompt site' upstream)",0.0006510416666666297,5.104166666662971e-05,True,MATCH,rate,"band-pooled logistic, request class; EARLY is a RESPONSE window, not the prompt site"
-0.0068,iter-2 eval (gen_art_evaluation_1) M1 / EVAL_REPORT,"mean-of-4 dAUROC alpha 0->1, EARLY",-0.00675455729166663,4.544270833336996e-05,True,MATCH,rate,
-0.1439,iter-2 eval (gen_art_evaluation_1) M1 / EVAL_REPORT,"mean-of-4 dTPR@1%FPR alpha 0->1, LATE window (labelled 'response site' upstream)",-0.14388020833333326,1.9791666666740815e-05,True,MATCH,rate,"band-pooled logistic, request class; EARLY is a RESPONSE window, not the prompt site"
-0.0136,iter-2 eval (gen_art_evaluation_1) M1 / EVAL_REPORT,"mean-of-4 dAUROC alpha 0->1, LATE",-0.013687133789062389,8.713378906238974e-05,True,MATCH,rate,
0.404,iter-2 eval (gen_art_evaluation_1) M1 / EVAL_REPORT,L4 LATE TPR@1%FPR alpha=0,0.4036458333333333,0.00035416666666671093,True,MATCH,rate,
0.234,iter-2 eval (gen_art_evaluation_1) M1 / EVAL_REPORT,L4 LATE TPR@1%FPR alpha=1,0.234375,0.00037499999999998646,True,MATCH,rate,
1.76e-06,iter-2 eval (gen_art_evaluation_1) M1 / EVAL_REPORT,"Holm L1 p (full lesion, LATE)",1.7580893733295691e-06,1.9106266704309614e-09,True,MATCH,p,"reproduced with iter-2's per-item one-sample t-test on 384 hit differences, which treats the 8 cells of a scenario as independent; the scenario-permutation p is in laneb_tests.json"
10.580882352941178,iter-2 eval (gen_art_evaluation_1) M1 / EVAL_REPORT,10.6x operating-point vs AUROC movement ratio,,,False,DROPPED,other,a ratio of a TPR delta to an AUROC delta is not a quantity; removed from all tables
1.0,art_2sz7g3MD4_y3 Lane B analysis.json D_curve,L1 D_curve (damage corpus) at alpha=1,1.0,0.0,True,MATCH,rate,read at lastp|29; CEILING at alpha=0 so it cannot fall
1.0,art_2sz7g3MD4_y3 Lane B analysis.json D_curve,L2 D_curve (damage corpus) at alpha=1,1.0,0.0,True,MATCH,rate,read at lastp|22; CEILING at alpha=0 so it cannot fall
1.0,art_2sz7g3MD4_y3 Lane B analysis.json D_curve,L3 D_curve (damage corpus) at alpha=1,1.0,0.0,True,MATCH,rate,read at lastp|23; CEILING at alpha=0 so it cannot fall
1.0,art_2sz7g3MD4_y3 Lane B analysis.json D_curve,L4 D_curve (damage corpus) at alpha=1,0.999878,0.00012199999999995548,True,MATCH,rate,read at lastp|29; CEILING at alpha=0 so it cannot fall
0.5,iter-2 eval M1,"TOST-equivalent (margin 0.05 TPR) at alpha <= 0.5 (L1, LATE)",0.25,0.25,False,MISMATCH,other,"largest alpha whose paired scenario-bootstrap 90% CI of dTPR@1%FPR (thresholds re-derived per draw) lies inside +/-0.05; iter-2 did not name a lineage, so each is checked"
0.5,iter-2 eval M1,"TOST-equivalent (margin 0.05 TPR) at alpha <= 0.5 (L2, LATE)",0.25,0.25,False,MISMATCH,other,"largest alpha whose paired scenario-bootstrap 90% CI of dTPR@1%FPR (thresholds re-derived per draw) lies inside +/-0.05; iter-2 did not name a lineage, so each is checked"
0.5,iter-2 eval M1,"TOST-equivalent (margin 0.05 TPR) at alpha <= 0.5 (L3, LATE)",0.25,0.25,False,MISMATCH,other,"largest alpha whose paired scenario-bootstrap 90% CI of dTPR@1%FPR (thresholds re-derived per draw) lies inside +/-0.05; iter-2 did not name a lineage, so each is checked"
0.5,iter-2 eval M1,"TOST-equivalent (margin 0.05 TPR) at alpha <= 0.5 (L4, LATE)",0.50,0.0,True,MATCH,other,"largest alpha whose paired scenario-bootstrap 90% CI of dTPR@1%FPR (thresholds re-derived per draw) lies inside +/-0.05; iter-2 did not name a lineage, so each is checked"
5.68,art_2sz7g3MD4_y3 Lane B summary,"request-axis in-sample Cohen's d, L1 (Lane B fit_ablit corpus, r_ablit layer 29)",5.6763473626595875,0.0036526373404122126,True,MATCH,other,"recomputed from Lane B fit_ablit|lastp arrays (in-sample, 128+128); iter-1 meta r_ablit_sep = 5.68"
138.0,art_2sz7g3MD4_y3 Lane B summary,"signal along u grows ~138x with depth (L1, fixed axis, band-limited)",281.2573670049601,143.2573670049601,False,MISMATCH,other,only layers 13-21 + r_ablit layer stored; own-axis ratio 3.21
0.985,art_2sz7g3MD4_y3 Lane B,"cos(class dir alpha=0, alpha=1) at L13 (L1)",0.9791060090065002,0.0058939909934997425,False,MISMATCH,rate,
0.0,art_2sz7g3MD4_y3 Lane B,post-lesion cos at the fitting layer (L1),0.0002513416111469269,0.0002513416111469269,True,MATCH,rate,FORCED_BY_CONSTRUCTION -- removed from the evidence list
11.15,art_2sz7g3MD4_y3 Lane B summary,"request-axis in-sample Cohen's d, L2 (Lane B fit_ablit corpus, r_ablit layer 22)",11.1546068619692,0.0046068619691990165,True,MATCH,other,"recomputed from Lane B fit_ablit|lastp arrays (in-sample, 128+128); iter-1 meta r_ablit_sep = 11.15"
138.0,art_2sz7g3MD4_y3 Lane B summary,"signal along u grows ~138x with depth (L2, fixed axis, band-limited)",161.29796700525958,23.29796700525958,False,MISMATCH,other,only layers 13-21 + r_ablit layer stored; own-axis ratio 3.76
0.985,art_2sz7g3MD4_y3 Lane B,"cos(class dir alpha=0, alpha=1) at L13 (L2)",0.9847043752670288,0.0002956247329711781,True,MATCH,rate,
0.0,art_2sz7g3MD4_y3 Lane B,post-lesion cos at the fitting layer (L2),0.00015683285892009735,0.00015683285892009735,True,MATCH,rate,FORCED_BY_CONSTRUCTION -- removed from the evidence list
11.41,art_2sz7g3MD4_y3 Lane B summary,"request-axis in-sample Cohen's d, L3 (Lane B fit_ablit corpus, r_ablit layer 23)",11.412286937782524,0.002286937782523424,True,MATCH,other,"recomputed from Lane B fit_ablit|lastp arrays (in-sample, 128+128); iter-1 meta r_ablit_sep = 11.41"
138.0,art_2sz7g3MD4_y3 Lane B summary,"signal along u grows ~138x with depth (L3, fixed axis, band-limited)",265.27770118079246,127.27770118079246,False,MISMATCH,other,only layers 13-21 + r_ablit layer stored; own-axis ratio 4.04
0.985,art_2sz7g3MD4_y3 Lane B,"cos(class dir alpha=0, alpha=1) at L13 (L3)",0.9895708560943604,0.004570856094360365,True,MATCH,rate,
0.0,art_2sz7g3MD4_y3 Lane B,post-lesion cos at the fitting layer (L3),0.0004273839294910431,0.0004273839294910431,True,MATCH,rate,FORCED_BY_CONSTRUCTION -- removed from the evidence list
5.74,art_2sz7g3MD4_y3 Lane B summary,"request-axis in-sample Cohen's d, L4 (Lane B fit_ablit corpus, r_ablit layer 29)",5.735197442460998,0.004802557539002272,True,MATCH,other,"recomputed from Lane B fit_ablit|lastp arrays (in-sample, 128+128); iter-1 meta r_ablit_sep = 5.74"
138.0,art_2sz7g3MD4_y3 Lane B summary,"signal along u grows ~138x with depth (L4, fixed axis, band-limited)",249.5403271127178,111.54032711271779,False,MISMATCH,other,only layers 13-21 + r_ablit layer stored; own-axis ratio 3.05
0.985,art_2sz7g3MD4_y3 Lane B,"cos(class dir alpha=0, alpha=1) at L13 (L4)",0.9757209420204163,0.009279057979583727,False,MISMATCH,rate,
0.0,art_2sz7g3MD4_y3 Lane B,post-lesion cos at the fitting layer (L4),0.00017734989523887634,0.00017734989523887634,True,MATCH,rate,FORCED_BY_CONSTRUCTION -- removed from the evidence list
0.528,iter-2 eval M5,"k=16 restricted-budget AUROC, L1 (iter-2 protocol: Lane B LATE band, logistic)",0.5279502354562282,4.976454377181305e-05,True,MATCH,rate,iter-2 M5 function re-run on Lane B alpha=0 LATE features
0.54,iter-2 eval M5,"k=16 restricted-budget AUROC, L4 (iter-2 protocol: Lane B LATE band, logistic)",0.539977560043335,2.2439956665065708e-05,True,MATCH,rate,iter-2 M5 function re-run on Lane B alpha=0 LATE features
0.679,iter-2 eval M5,"k=16 restricted-budget AUROC, L2 (iter-2 protocol: Lane B LATE band, logistic)",0.6786360484361649,0.00036395156383517424,True,MATCH,rate,iter-2 M5 function re-run on Lane B alpha=0 LATE features
0.698,iter-2 eval M5,"k=16 restricted-budget AUROC, L3 (iter-2 protocol: Lane B LATE band, logistic)",0.6980992531776429,9.925317764292174e-05,True,MATCH,rate,iter-2 M5 function re-run on Lane B alpha=0 LATE features
